symbol,group,organ_name,icb_name3,icb_name2,icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
HSG,VNMidCap,Công ty Cổ phần Tập đoàn Hoa Sen,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
HT1,VNMidCap,Công ty Cổ phần Xi măng VICEM Hà Tiên,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
IMP,VNMidCap,Công ty Cổ phần Dược phẩm IMEXPHARM,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
KBC,VNMidCap,Tổng Công ty Phát triển Đô thị Kinh Bắc,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
KDC,VNMidCap,Công ty Cổ phần Tập đoàn KIDO,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
KDH,VNMidCap,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
KOS,VNMidCap,Công ty Cổ phần KOSY,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
MSB,VNMidCap,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
NAB,VNMidCap,Ngân hàng Thương mại Cổ phần Nam Á,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
NKG,VNMidCap,Công ty Cổ phần Thép Nam Kim,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
NLG,VNMidCap,Công ty Cổ phần Đầu tư Nam Long,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
NT2,VNMidCap,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
OCB,VNMidCap,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
PAN,VNMidCap,Công ty Cổ phần Tập đoàn PAN,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
PC1,VNMidCap,Công ty Cổ phần Tập đoàn PC1,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
PDR,VNMidCap,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
PHR,VNMidCap,Công ty Cổ phần Cao su Phước Hòa,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
PNJ,VNMidCap,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng cá nhân,CT,3000,3700,3760,3767
POW,VNMidCap,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
PPC,VNMidCap,Công ty Cổ phần Nhiệt điện Phả Lại,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
PTB,VNMidCap,Công ty Cổ phần Phú Tài,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT,1000,1700,1730,1733
PVD,VNMidCap,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Dầu khí,Thiết bị và Dịch vụ Dầu khí,CT,0001,0500,0570,0573
PVT,VNMidCap,Tổng Công ty Cổ phần Vận tải Dầu khí,Vận tải,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT,2000,2700,2770,2773
REE,VNMidCap,Công ty Cổ phần Cơ điện Lạnh,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
SBT,VNMidCap,Công ty Cổ phần Thành Thành Công - Biên Hòa,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
SCS,VNMidCap,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Du lịch & Giải trí,Du lịch và Giải trí,Hàng không,CT,5000,5700,5750,5751
SIP,VNMidCap,Công ty Cổ phần Đầu tư Sài Gòn VRG,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
SJS,VNMidCap,Công ty Cổ phần SJ Group,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
SZC,VNMidCap,Công ty Cổ phần Sonadezi Châu Đức,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
